check,passed,detail
lr/adamw:2024:alpha0p50:step_grid,True,observed=311;expected=311
wandb_export_2026-07-29T09_47_09.447+08_00.csv:2024:alpha0p25:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p25_seed2024_20260727T105514+0000
lr/adamw:2024:alpha0p25:finite,True,points=311
lr/adamw:2024:alpha0p25:min_max_mirror,True,points=311
lr/adamw:2024:alpha0p25:step_grid,True,observed=311;expected=311
wandb_export_2026-07-29T09_47_09.447+08_00.csv:2024:alpha0:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0_seed2024_20260727T105514+0000
lr/adamw:2024:alpha0:finite,True,points=311
lr/adamw:2024:alpha0:min_max_mirror,True,points=311
lr/adamw:2024:alpha0:step_grid,True,observed=311;expected=311
lr/adamw:identity_grid,True,"observed=[(2024, 'alpha0'), (2024, 'alpha0p25'), (2024, 'alpha0p50'), (2024, 'alpha0p75'), (2025, 'alpha0'), (2025, 'alpha0p25'), (2025, 'alpha0p50'), (2025, 'alpha0p75')]"
wandb_export_2026-07-29T09_47_14.118+08_00.csv:nonempty,True,rows=1
wandb_export_2026-07-29T09_47_14.118+08_00.csv:headers,True,base_headers=8
wandb_export_2026-07-29T09_47_14.118+08_00.csv:one_metric,True,metrics=['memory/peak_allocated_mib']
wandb_export_2026-07-29T09_47_14.118+08_00.csv:known_metric,True,memory/peak_allocated_mib
wandb_export_2026-07-29T09_47_14.118+08_00.csv:2025:alpha0p75:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p75_seed2025_20260728T000933+0000
memory/peak_allocated_mib:2025:alpha0p75:finite,True,points=1
memory/peak_allocated_mib:2025:alpha0p75:min_max_mirror,True,points=1
memory/peak_allocated_mib:2025:alpha0p75:step_grid,True,observed=1;expected=1
wandb_export_2026-07-29T09_47_14.118+08_00.csv:2025:alpha0p50:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p50_seed2025_20260728T000933+0000
memory/peak_allocated_mib:2025:alpha0p50:finite,True,points=1
memory/peak_allocated_mib:2025:alpha0p50:min_max_mirror,True,points=1
memory/peak_allocated_mib:2025:alpha0p50:step_grid,True,observed=1;expected=1
wandb_export_2026-07-29T09_47_14.118+08_00.csv:2025:alpha0p25:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p25_seed2025_20260728T000933+0000
memory/peak_allocated_mib:2025:alpha0p25:finite,True,points=1
memory/peak_allocated_mib:2025:alpha0p25:min_max_mirror,True,points=1
memory/peak_allocated_mib:2025:alpha0p25:step_grid,True,observed=1;expected=1
wandb_export_2026-07-29T09_47_14.118+08_00.csv:2025:alpha0:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0_seed2025_20260728T000933+0000
memory/peak_allocated_mib:2025:alpha0:finite,True,points=1
memory/peak_allocated_mib:2025:alpha0:min_max_mirror,True,points=1
memory/peak_allocated_mib:2025:alpha0:step_grid,True,observed=1;expected=1
wandb_export_2026-07-29T09_47_14.118+08_00.csv:2024:alpha0p75:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p75_seed2024_20260727T105514+0000
memory/peak_allocated_mib:2024:alpha0p75:finite,True,points=1
memory/peak_allocated_mib:2024:alpha0p75:min_max_mirror,True,points=1
memory/peak_allocated_mib:2024:alpha0p75:step_grid,True,observed=1;expected=1
wandb_export_2026-07-29T09_47_14.118+08_00.csv:2024:alpha0p50:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p50_seed2024_20260727T105514+0000
memory/peak_allocated_mib:2024:alpha0p50:finite,True,points=1
memory/peak_allocated_mib:2024:alpha0p50:min_max_mirror,True,points=1
memory/peak_allocated_mib:2024:alpha0p50:step_grid,True,observed=1;expected=1
wandb_export_2026-07-29T09_47_14.118+08_00.csv:2024:alpha0p25:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p25_seed2024_20260727T105514+0000
memory/peak_allocated_mib:2024:alpha0p25:finite,True,points=1
memory/peak_allocated_mib:2024:alpha0p25:min_max_mirror,True,points=1
memory/peak_allocated_mib:2024:alpha0p25:step_grid,True,observed=1;expected=1
wandb_export_2026-07-29T09_47_14.118+08_00.csv:2024:alpha0:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0_seed2024_20260727T105514+0000
memory/peak_allocated_mib:2024:alpha0:finite,True,points=1
memory/peak_allocated_mib:2024:alpha0:min_max_mirror,True,points=1
memory/peak_allocated_mib:2024:alpha0:step_grid,True,observed=1;expected=1
memory/peak_allocated_mib:identity_grid,True,"observed=[(2024, 'alpha0'), (2024, 'alpha0p25'), (2024, 'alpha0p50'), (2024, 'alpha0p75'), (2025, 'alpha0'), (2025, 'alpha0p25'), (2025, 'alpha0p50'), (2025, 'alpha0p75')]"
wandb_export_2026-07-29T09_47_18.092+08_00.csv:nonempty,True,rows=1
wandb_export_2026-07-29T09_47_18.092+08_00.csv:headers,True,base_headers=8
wandb_export_2026-07-29T09_47_18.092+08_00.csv:one_metric,True,metrics=['memory/optimizer_state_mib']
wandb_export_2026-07-29T09_47_18.092+08_00.csv:known_metric,True,memory/optimizer_state_mib
wandb_export_2026-07-29T09_47_18.092+08_00.csv:2025:alpha0p75:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p75_seed2025_20260728T000933+0000
memory/optimizer_state_mib:2025:alpha0p75:finite,True,points=1
memory/optimizer_state_mib:2025:alpha0p75:min_max_mirror,True,points=1
memory/optimizer_state_mib:2025:alpha0p75:step_grid,True,observed=1;expected=1
wandb_export_2026-07-29T09_47_18.092+08_00.csv:2025:alpha0p50:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p50_seed2025_20260728T000933+0000
memory/optimizer_state_mib:2025:alpha0p50:finite,True,points=1
memory/optimizer_state_mib:2025:alpha0p50:min_max_mirror,True,points=1
memory/optimizer_state_mib:2025:alpha0p50:step_grid,True,observed=1;expected=1
wandb_export_2026-07-29T09_47_18.092+08_00.csv:2025:alpha0p25:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p25_seed2025_20260728T000933+0000
memory/optimizer_state_mib:2025:alpha0p25:finite,True,points=1
memory/optimizer_state_mib:2025:alpha0p25:min_max_mirror,True,points=1
memory/optimizer_state_mib:2025:alpha0p25:step_grid,True,observed=1;expected=1
wandb_export_2026-07-29T09_47_18.092+08_00.csv:2025:alpha0:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0_seed2025_20260728T000933+0000
memory/optimizer_state_mib:2025:alpha0:finite,True,points=1
memory/optimizer_state_mib:2025:alpha0:min_max_mirror,True,points=1
memory/optimizer_state_mib:2025:alpha0:step_grid,True,observed=1;expected=1
wandb_export_2026-07-29T09_47_18.092+08_00.csv:2024:alpha0p75:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p75_seed2024_20260727T105514+0000
memory/optimizer_state_mib:2024:alpha0p75:finite,True,points=1
memory/optimizer_state_mib:2024:alpha0p75:min_max_mirror,True,points=1
memory/optimizer_state_mib:2024:alpha0p75:step_grid,True,observed=1;expected=1
wandb_export_2026-07-29T09_47_18.092+08_00.csv:2024:alpha0p50:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p50_seed2024_20260727T105514+0000
memory/optimizer_state_mib:2024:alpha0p50:finite,True,points=1
memory/optimizer_state_mib:2024:alpha0p50:min_max_mirror,True,points=1
memory/optimizer_state_mib:2024:alpha0p50:step_grid,True,observed=1;expected=1
wandb_export_2026-07-29T09_47_18.092+08_00.csv:2024:alpha0p25:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p25_seed2024_20260727T105514+0000
memory/optimizer_state_mib:2024:alpha0p25:finite,True,points=1
memory/optimizer_state_mib:2024:alpha0p25:min_max_mirror,True,points=1
memory/optimizer_state_mib:2024:alpha0p25:step_grid,True,observed=1;expected=1
wandb_export_2026-07-29T09_47_18.092+08_00.csv:2024:alpha0:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0_seed2024_20260727T105514+0000
memory/optimizer_state_mib:2024:alpha0:finite,True,points=1
memory/optimizer_state_mib:2024:alpha0:min_max_mirror,True,points=1
memory/optimizer_state_mib:2024:alpha0:step_grid,True,observed=1;expected=1
memory/optimizer_state_mib:identity_grid,True,"observed=[(2024, 'alpha0'), (2024, 'alpha0p25'), (2024, 'alpha0p50'), (2024, 'alpha0p75'), (2025, 'alpha0'), (2025, 'alpha0p25'), (2025, 'alpha0p50'), (2025, 'alpha0p75')]"
wandb_export_2026-07-29T09_47_21.753+08_00.csv:nonempty,True,rows=1
wandb_export_2026-07-29T09_47_21.753+08_00.csv:headers,True,base_headers=8
wandb_export_2026-07-29T09_47_21.753+08_00.csv:one_metric,True,metrics=['memory/k_state_mib']
wandb_export_2026-07-29T09_47_21.753+08_00.csv:known_metric,True,memory/k_state_mib
wandb_export_2026-07-29T09_47_21.753+08_00.csv:2025:alpha0p75:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p75_seed2025_20260728T000933+0000
memory/k_state_mib:2025:alpha0p75:finite,True,points=1
memory/k_state_mib:2025:alpha0p75:min_max_mirror,True,points=1
memory/k_state_mib:2025:alpha0p75:step_grid,True,observed=1;expected=1
wandb_export_2026-07-29T09_47_21.753+08_00.csv:2025:alpha0p50:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p50_seed2025_20260728T000933+0000
memory/k_state_mib:2025:alpha0p50:finite,True,points=1
memory/k_state_mib:2025:alpha0p50:min_max_mirror,True,points=1
memory/k_state_mib:2025:alpha0p50:step_grid,True,observed=1;expected=1
wandb_export_2026-07-29T09_47_21.753+08_00.csv:2025:alpha0p25:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p25_seed2025_20260728T000933+0000
memory/k_state_mib:2025:alpha0p25:finite,True,points=1
memory/k_state_mib:2025:alpha0p25:min_max_mirror,True,points=1
memory/k_state_mib:2025:alpha0p25:step_grid,True,observed=1;expected=1
wandb_export_2026-07-29T09_47_21.753+08_00.csv:2025:alpha0:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0_seed2025_20260728T000933+0000
memory/k_state_mib:2025:alpha0:finite,True,points=1
memory/k_state_mib:2025:alpha0:min_max_mirror,True,points=1
memory/k_state_mib:2025:alpha0:step_grid,True,observed=1;expected=1
wandb_export_2026-07-29T09_47_21.753+08_00.csv:2024:alpha0p75:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p75_seed2024_20260727T105514+0000
memory/k_state_mib:2024:alpha0p75:finite,True,points=1
memory/k_state_mib:2024:alpha0p75:min_max_mirror,True,points=1
memory/k_state_mib:2024:alpha0p75:step_grid,True,observed=1;expected=1
wandb_export_2026-07-29T09_47_21.753+08_00.csv:2024:alpha0p50:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p50_seed2024_20260727T105514+0000
memory/k_state_mib:2024:alpha0p50:finite,True,points=1
memory/k_state_mib:2024:alpha0p50:min_max_mirror,True,points=1
memory/k_state_mib:2024:alpha0p50:step_grid,True,observed=1;expected=1
wandb_export_2026-07-29T09_47_21.753+08_00.csv:2024:alpha0p25:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p25_seed2024_20260727T105514+0000
memory/k_state_mib:2024:alpha0p25:finite,True,points=1
memory/k_state_mib:2024:alpha0p25:min_max_mirror,True,points=1
memory/k_state_mib:2024:alpha0p25:step_grid,True,observed=1;expected=1
wandb_export_2026-07-29T09_47_21.753+08_00.csv:2024:alpha0:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0_seed2024_20260727T105514+0000
memory/k_state_mib:2024:alpha0:finite,True,points=1
memory/k_state_mib:2024:alpha0:min_max_mirror,True,points=1
memory/k_state_mib:2024:alpha0:step_grid,True,observed=1;expected=1
memory/k_state_mib:identity_grid,True,"observed=[(2024, 'alpha0'), (2024, 'alpha0p25'), (2024, 'alpha0p50'), (2024, 'alpha0p75'), (2025, 'alpha0'), (2025, 'alpha0p25'), (2025, 'alpha0p50'), (2025, 'alpha0p75')]"
wandb_export_2026-07-29T09_47_25.854+08_00.csv:nonempty,True,rows=309
wandb_export_2026-07-29T09_47_25.854+08_00.csv:headers,True,base_headers=8
wandb_export_2026-07-29T09_47_25.854+08_00.csv:one_metric,True,metrics=['performance/step_avg_ms']
wandb_export_2026-07-29T09_47_25.854+08_00.csv:known_metric,True,performance/step_avg_ms
wandb_export_2026-07-29T09_47_25.854+08_00.csv:2025:alpha0p75:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p75_seed2025_20260728T000933+0000
performance/step_avg_ms:2025:alpha0p75:finite,True,points=309
performance/step_avg_ms:2025:alpha0p75:min_max_mirror,True,points=309
performance/step_avg_ms:2025:alpha0p75:step_grid,True,observed=309;expected=309
wandb_export_2026-07-29T09_47_25.854+08_00.csv:2025:alpha0p50:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p50_seed2025_20260728T000933+0000
performance/step_avg_ms:2025:alpha0p50:finite,True,points=309
performance/step_avg_ms:2025:alpha0p50:min_max_mirror,True,points=309
performance/step_avg_ms:2025:alpha0p50:step_grid,True,observed=309;expected=309
wandb_export_2026-07-29T09_47_25.854+08_00.csv:2025:alpha0p25:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p25_seed2025_20260728T000933+0000
performance/step_avg_ms:2025:alpha0p25:finite,True,points=309
performance/step_avg_ms:2025:alpha0p25:min_max_mirror,True,points=309
performance/step_avg_ms:2025:alpha0p25:step_grid,True,observed=309;expected=309
wandb_export_2026-07-29T09_47_25.854+08_00.csv:2025:alpha0:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0_seed2025_20260728T000933+0000
performance/step_avg_ms:2025:alpha0:finite,True,points=309
performance/step_avg_ms:2025:alpha0:min_max_mirror,True,points=309
performance/step_avg_ms:2025:alpha0:step_grid,True,observed=309;expected=309
wandb_export_2026-07-29T09_47_25.854+08_00.csv:2024:alpha0p75:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p75_seed2024_20260727T105514+0000
performance/step_avg_ms:2024:alpha0p75:finite,True,points=309
performance/step_avg_ms:2024:alpha0p75:min_max_mirror,True,points=309
performance/step_avg_ms:2024:alpha0p75:step_grid,True,observed=309;expected=309
wandb_export_2026-07-29T09_47_25.854+08_00.csv:2024:alpha0p50:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p50_seed2024_20260727T105514+0000
performance/step_avg_ms:2024:alpha0p50:finite,True,points=309
performance/step_avg_ms:2024:alpha0p50:min_max_mirror,True,points=309
performance/step_avg_ms:2024:alpha0p50:step_grid,True,observed=309;expected=309
wandb_export_2026-07-29T09_47_25.854+08_00.csv:2024:alpha0p25:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p25_seed2024_20260727T105514+0000
performance/step_avg_ms:2024:alpha0p25:finite,True,points=309
performance/step_avg_ms:2024:alpha0p25:min_max_mirror,True,points=309
performance/step_avg_ms:2024:alpha0p25:step_grid,True,observed=309;expected=309
wandb_export_2026-07-29T09_47_25.854+08_00.csv:2024:alpha0:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0_seed2024_20260727T105514+0000
performance/step_avg_ms:2024:alpha0:finite,True,points=309
performance/step_avg_ms:2024:alpha0:min_max_mirror,True,points=309
performance/step_avg_ms:2024:alpha0:step_grid,True,observed=309;expected=309
performance/step_avg_ms:identity_grid,True,"observed=[(2024, 'alpha0'), (2024, 'alpha0p25'), (2024, 'alpha0p50'), (2024, 'alpha0p75'), (2025, 'alpha0'), (2025, 'alpha0p25'), (2025, 'alpha0p50'), (2025, 'alpha0p75')]"
wandb_export_2026-07-29T09_47_30.268+08_00.csv:nonempty,True,rows=311
wandb_export_2026-07-29T09_47_30.268+08_00.csv:headers,True,base_headers=8
wandb_export_2026-07-29T09_47_30.268+08_00.csv:one_metric,True,metrics=['time/train_s']
wandb_export_2026-07-29T09_47_30.268+08_00.csv:known_metric,True,time/train_s
wandb_export_2026-07-29T09_47_30.268+08_00.csv:2025:alpha0p75:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p75_seed2025_20260728T000933+0000
time/train_s:2025:alpha0p75:finite,True,points=311
time/train_s:2025:alpha0p75:min_max_mirror,True,points=311
time/train_s:2025:alpha0p75:step_grid,True,observed=311;expected=311
wandb_export_2026-07-29T09_47_30.268+08_00.csv:2025:alpha0p50:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p50_seed2025_20260728T000933+0000
time/train_s:2025:alpha0p50:finite,True,points=311
time/train_s:2025:alpha0p50:min_max_mirror,True,points=311
time/train_s:2025:alpha0p50:step_grid,True,observed=311;expected=311
wandb_export_2026-07-29T09_47_30.268+08_00.csv:2025:alpha0p25:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p25_seed2025_20260728T000933+0000
time/train_s:2025:alpha0p25:finite,True,points=311
time/train_s:2025:alpha0p25:min_max_mirror,True,points=311
time/train_s:2025:alpha0p25:step_grid,True,observed=311;expected=311
wandb_export_2026-07-29T09_47_30.268+08_00.csv:2025:alpha0:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0_seed2025_20260728T000933+0000
time/train_s:2025:alpha0:finite,True,points=311
time/train_s:2025:alpha0:min_max_mirror,True,points=311
time/train_s:2025:alpha0:step_grid,True,observed=311;expected=311
wandb_export_2026-07-29T09_47_30.268+08_00.csv:2024:alpha0p75:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p75_seed2024_20260727T105514+0000
time/train_s:2024:alpha0p75:finite,True,points=311
time/train_s:2024:alpha0p75:min_max_mirror,True,points=311
time/train_s:2024:alpha0p75:step_grid,True,observed=311;expected=311
wandb_export_2026-07-29T09_47_30.268+08_00.csv:2024:alpha0p50:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p50_seed2024_20260727T105514+0000
time/train_s:2024:alpha0p50:finite,True,points=311
time/train_s:2024:alpha0p50:min_max_mirror,True,points=311
time/train_s:2024:alpha0p50:step_grid,True,observed=311;expected=311
wandb_export_2026-07-29T09_47_30.268+08_00.csv:2024:alpha0p25:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p25_seed2024_20260727T105514+0000
time/train_s:2024:alpha0p25:finite,True,points=311
time/train_s:2024:alpha0p25:min_max_mirror,True,points=311
time/train_s:2024:alpha0p25:step_grid,True,observed=311;expected=311
wandb_export_2026-07-29T09_47_30.268+08_00.csv:2024:alpha0:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0_seed2024_20260727T105514+0000
time/train_s:2024:alpha0:finite,True,points=311
time/train_s:2024:alpha0:min_max_mirror,True,points=311
time/train_s:2024:alpha0:step_grid,True,observed=311;expected=311
time/train_s:identity_grid,True,"observed=[(2024, 'alpha0'), (2024, 'alpha0p25'), (2024, 'alpha0p50'), (2024, 'alpha0p75'), (2025, 'alpha0'), (2025, 'alpha0p25'), (2025, 'alpha0p50'), (2025, 'alpha0p75')]"
wandb_export_2026-07-29T09_47_34.647+08_00.csv:nonempty,True,rows=310
wandb_export_2026-07-29T09_47_34.647+08_00.csv:headers,True,base_headers=8
wandb_export_2026-07-29T09_47_34.647+08_00.csv:one_metric,True,metrics=['train/loss_step']
wandb_export_2026-07-29T09_47_34.647+08_00.csv:known_metric,True,train/loss_step
wandb_export_2026-07-29T09_47_34.647+08_00.csv:2025:alpha0p75:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p75_seed2025_20260728T000933+0000
train/loss_step:2025:alpha0p75:finite,True,points=310
train/loss_step:2025:alpha0p75:min_max_mirror,True,points=310
train/loss_step:2025:alpha0p75:step_grid,True,observed=310;expected=310
wandb_export_2026-07-29T09_47_34.647+08_00.csv:2025:alpha0p50:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p50_seed2025_20260728T000933+0000
train/loss_step:2025:alpha0p50:finite,True,points=310
train/loss_step:2025:alpha0p50:min_max_mirror,True,points=310
train/loss_step:2025:alpha0p50:step_grid,True,observed=310;expected=310
wandb_export_2026-07-29T09_47_34.647+08_00.csv:2025:alpha0p25:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p25_seed2025_20260728T000933+0000
train/loss_step:2025:alpha0p25:finite,True,points=310
train/loss_step:2025:alpha0p25:min_max_mirror,True,points=310
train/loss_step:2025:alpha0p25:step_grid,True,observed=310;expected=310
wandb_export_2026-07-29T09_47_34.647+08_00.csv:2025:alpha0:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0_seed2025_20260728T000933+0000
train/loss_step:2025:alpha0:finite,True,points=310
train/loss_step:2025:alpha0:min_max_mirror,True,points=310
train/loss_step:2025:alpha0:step_grid,True,observed=310;expected=310
wandb_export_2026-07-29T09_47_34.647+08_00.csv:2024:alpha0p75:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p75_seed2024_20260727T105514+0000
train/loss_step:2024:alpha0p75:finite,True,points=310
train/loss_step:2024:alpha0p75:min_max_mirror,True,points=310
train/loss_step:2024:alpha0p75:step_grid,True,observed=310;expected=310
wandb_export_2026-07-29T09_47_34.647+08_00.csv:2024:alpha0p50:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p50_seed2024_20260727T105514+0000
train/loss_step:2024:alpha0p50:finite,True,points=310
train/loss_step:2024:alpha0p50:min_max_mirror,True,points=310
train/loss_step:2024:alpha0p50:step_grid,True,observed=310;expected=310
wandb_export_2026-07-29T09_47_34.647+08_00.csv:2024:alpha0p25:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p25_seed2024_20260727T105514+0000
train/loss_step:2024:alpha0p25:finite,True,points=310
train/loss_step:2024:alpha0p25:min_max_mirror,True,points=310
