check,passed,detail
phase:newton_full:seed2024:cooldown_6200,true,"manifest, identity, summary hash and metrics hash"
phase:newton_full:seed2024:backbone_11493,true,"manifest, identity, summary hash and metrics hash"
phase:newton_full:seed2024:cooldown_13293,true,"manifest, identity, summary hash and metrics hash"
phase:newton_full:seed2024:backbone_17273,true,"manifest, identity, summary hash and metrics hash"
phase:newton_full:seed2024:cooldown_19073,true,"manifest, identity, summary hash and metrics hash"
unit:newton_full:seed2025,true,passed=True completed_phases=6
phase:newton_full:seed2025:backbone_4400,true,"manifest, identity, summary hash and metrics hash"
phase:newton_full:seed2025:cooldown_6200,true,"manifest, identity, summary hash and metrics hash"
phase:newton_full:seed2025:backbone_11493,true,"manifest, identity, summary hash and metrics hash"
phase:newton_full:seed2025:cooldown_13293,true,"manifest, identity, summary hash and metrics hash"
phase:newton_full:seed2025:backbone_17273,true,"manifest, identity, summary hash and metrics hash"
phase:newton_full:seed2025:cooldown_19073,true,"manifest, identity, summary hash and metrics hash"
unit:newton_full:seed2026,true,passed=True completed_phases=6
phase:newton_full:seed2026:backbone_4400,true,"manifest, identity, summary hash and metrics hash"
phase:newton_full:seed2026:cooldown_6200,true,"manifest, identity, summary hash and metrics hash"
phase:newton_full:seed2026:backbone_11493,true,"manifest, identity, summary hash and metrics hash"
phase:newton_full:seed2026:cooldown_13293,true,"manifest, identity, summary hash and metrics hash"
phase:newton_full:seed2026:backbone_17273,true,"manifest, identity, summary hash and metrics hash"
phase:newton_full:seed2026:cooldown_19073,true,"manifest, identity, summary hash and metrics hash"
unit:muon:seed2024,true,passed=True completed_phases=6
phase:muon:seed2024:backbone_4400,true,"manifest, identity, summary hash and metrics hash"
phase:muon:seed2024:cooldown_6200,true,"manifest, identity, summary hash and metrics hash"
phase:muon:seed2024:backbone_11493,true,"manifest, identity, summary hash and metrics hash"
phase:muon:seed2024:cooldown_13293,true,"manifest, identity, summary hash and metrics hash"
phase:muon:seed2024:backbone_17273,true,"manifest, identity, summary hash and metrics hash"
phase:muon:seed2024:cooldown_19073,true,"manifest, identity, summary hash and metrics hash"
unit:muon:seed2025,true,passed=True completed_phases=6
phase:muon:seed2025:backbone_4400,true,"manifest, identity, summary hash and metrics hash"
phase:muon:seed2025:cooldown_6200,true,"manifest, identity, summary hash and metrics hash"
phase:muon:seed2025:backbone_11493,true,"manifest, identity, summary hash and metrics hash"
phase:muon:seed2025:cooldown_13293,true,"manifest, identity, summary hash and metrics hash"
phase:muon:seed2025:backbone_17273,true,"manifest, identity, summary hash and metrics hash"
phase:muon:seed2025:cooldown_19073,true,"manifest, identity, summary hash and metrics hash"
unit:muon:seed2026,true,passed=True completed_phases=6
phase:muon:seed2026:backbone_4400,true,"manifest, identity, summary hash and metrics hash"
phase:muon:seed2026:cooldown_6200,true,"manifest, identity, summary hash and metrics hash"
phase:muon:seed2026:backbone_11493,true,"manifest, identity, summary hash and metrics hash"
phase:muon:seed2026:cooldown_13293,true,"manifest, identity, summary hash and metrics hash"
phase:muon:seed2026:backbone_17273,true,"manifest, identity, summary hash and metrics hash"
phase:muon:seed2026:cooldown_19073,true,"manifest, identity, summary hash and metrics hash"
independent_recompute:endpoints,true,rows=36 failures=[]
independent_recompute:paired_contrasts,true,rows=18 failures=[]
independent_recompute:frozen_classification,true,observed=persistent_muon_lead official=persistent_muon_lead
handoff:core_small_artifact_hashes,true,core_artifacts=294 failures=[]
advisory:handoff_wandb_cache_archive_exact,false,W&B cache is non-primary and contains latest-run/run-directory aliases that are not portable through the received ZIP; failures=276
handoff:checkpoint_certificates,true,handoff_passed=True certificates=36 unique=36
remote:full_checkpoint_rehash_receipt,true,receipts=1 passed=1
wandb:36_upload_receipts,true,receipts=36 projects=['Selective-Newton-Muon-MainConf-LLaMA-1B-10B-Formal-20260805']
wandb:received_exports_match_primary,true,coverage=36/36
